Id,Age,Gender,Education Level,Job Title,Years of Experience,Salary
256,34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0
258,50.0,Female,PhD,Director of Operations,22.0,180000.0
261,37.0,Female,Bachelor's,Senior Financial Manager,10.0,120000.0
263,31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0
267,44.0,Female,Master's,Senior HR Specialist,15.0,140000.0
269,39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0
271,32.0,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0
273,47.0,Female,Master's,Director of Marketing,20.0,180000.0
275,38.0,Female,Bachelor's,Senior Project Manager,9.0,120000.0
277,34.0,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0
279,49.0,Female,Master's,Director of Operations,21.0,180000.0
281,41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0
285,44.0,Female,PhD,Senior Product Designer,15.0,150000.0
287,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
290,38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
294,45.0,Female,Master's,Senior HR Manager,14.0,140000.0
296,40.0,Female,Bachelor's,Senior Marketing Manager,12.0,130000.0
300,48.0,Female,Master's,Director of HR,20.0,180000.0
302,38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0
304,33.0,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0
306,49.0,Female,Master's,Director of Marketing,21.0,180000.0
308,42.0,Female,Bachelor's,Senior Project Manager,12.0,120000.0
312,44.0,Female,PhD,Senior Product Designer,15.0,150000.0
314,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
316,34.0,Female,Master's,Senior Financial Advisor,6.0,80000.0
320,45.0,Female,Master's,Senior Marketing Manager,16.0,160000.0
322,39.0,Female,Bachelor's,Senior Project Manager,12.0,130000.0
326,43.0,Female,PhD,Senior Data Scientist,15.0,150000.0
328,38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
330,31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0
332,45.0,Female,PhD,Senior UX Designer,16.0,160000.0
334,36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0
338,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
340,35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0
342,31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0
344,44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
346,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
350,44.0,Female,PhD,Senior Data Scientist,16.0,160000.0
352,38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
354,31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0
356,45.0,Female,PhD,Senior UX Designer,16.0,160000.0
358,36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0
362,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
364,35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0
366,31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0
368,44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
370,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
374,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
